Dates,house_price_index,sales_yoy,mortgage_rate,median_price,median_price_yoy,building_value
2010/1/31,3201.8,-1.1,6.07,350,7.7,287.66
2010/2/28,3214.8,-3.8,5.98,350,6.1,383.96
2010/3/31,3268.8,-8,5.98,360.5,7.6,420.87
2010/4/30,3257.2,-16.2,5.98,356,4.7,384.75
2010/5/31,3210,-17.2,5.98,350,3.7,380.49
2010/6/30,3230.6,-24.3,6.12,352.5,3.7,383.26
2010/7/31,3191.5,-26.7,6.12,349,2.6,390.33
2010/8/31,3201.7,-27.1,6.35,350,0.9,357.44
2010/9/30,3191.8,-33.1,6.34,350,0,352.23
2010/10/31,3161.5,-35.9,6.34,350,-1.4,322.15
2010/11/30,3221.5,-15.2,6.34,360,1.4,391.89
2010/12/31,3201.6,-11.3,6.34,352,-2.2,285.57
2011/1/31,3119.8,-11.3,6.34,340,-2.9,233.64
2011/2/28,3192.9,-10.5,6.34,350,0,296.03
2011/3/31,3209.7,-5.1,5.93,365,1.2,329.32
2011/4/30,3245.4,-4.2,5.89,360,1.1,276.5
2011/5/31,3186.2,10.8,5.87,350,0,298.11
2011/6/30,3229,14.3,5.87,360,2.1,272.57
2011/7/31,3208.7,11.7,5.87,345,-1.1,320.02
2011/8/31,3223.7,21.1,5.87,355,1.4,393.09
2011/9/30,3279.2,21.1,5.87,350,0,306.65
2011/10/31,3268.5,28.3,5.85,359,2.6,344.4
2011/11/30,3304.3,16.9,5.83,367.5,2.1,399.72
2011/12/31,3301.4,20.9,5.86,355,0.9,347.85
2012/1/31,3253.8,25.2,5.86,355,4.4,308.95
2012/2/29,3280.5,37,5.86,355,1.4,352.85
2012/3/31,3343.5,25.3,5.86,370,1.4,432.2
2012/4/30,3334,13.8,5.81,365,1.4,363.85
2012/5/31,3390.6,24.4,5.81,369,5.4,407.54
2012/6/30,3400.8,17.3,5.81,372,3.3,363.28
2012/7/31,3377.1,19.9,5.79,361,4.6,429.57
2012/8/31,3420.1,16.2,5.79,370,4.2,445.86
2012/9/30,3442.1,8,5.79,371,6,487.35
2012/10/31,3495.1,32.6,5.79,380,5.8,484.91
2012/11/30,3544.4,24.1,5.79,383.3,4.3,524.98
2012/12/31,3522.7,8.2,5.8,389,9.6,401.71
2013/1/31,3488.1,21.1,5.8,370,4.2,401.12
2013/2/28,3544.9,7.5,5.8,382,7.6,471.53
2013/3/31,3631.4,10.9,5.8,400,8.1,466.46
2013/4/30,3661.5,25.2,5.8,390.5,7,540.64
2013/5/31,3686.9,7.5,5.8,392,6.2,602.18
2013/6/30,3685.8,0,5.8,394,5.9,453.58
2013/7/31,3669.1,14.7,5.8,385,6.6,577.93
2013/8/31,3746.6,8.5,5.8,390,5.4,560.8
2013/9/30,3778.1,18.9,5.83,400,7.8,577.9
2013/10/31,3839.8,2.1,5.83,407.5,7.2,607.91
2013/11/30,3885.5,-6.6,5.83,425,10.9,660.05
2013/12/31,3847.3,-1.1,5.83,427,9.8,579.34
