date,northland,auckland,waikato,bay_of_plenty,gisborne,hawkes_bay,taranaki,manawatu_whanganui,wellington,nelson_tasman_marlborough,west_coast,canterbury,otago,southland
2020/3/31,549588.5,941920.7,589347.2,654107.1,399820.3,545688.1,423264.8,427470.2,708800.0,584384.5,220072.3,486600.4,528223.8,367583.1
2020/4/30,454285.5,924698.4,532610.2,629033.0,394443.3,636783.6,384213.3,399286.0,725732.7,615562.9,215082.7,465243.7,449363.1,313504.8
2020/5/31,524726.9,903170.6,596314.9,619389.2,411246.5,558890.3,422300.6,412814.4,684962.9,579587.9,220072.3,458520.3,501502.4,340485.8
2020/6/30,527834.6,918240.1,612738.8,639319.8,433426.8,556910.0,410729.7,424651.7,683332.1,577789.1,220072.3,469198.6,552338.2,341267.9
2020/7/31,556321.9,916804.9,614231.8,657321.7,471738.2,548988.6,441585.2,437616.4,694747.6,593378.3,225061.8,476713.0,550383.0,358082.2
2020/8/31,592578.4,945508.6,627171.9,666965.5,460312.0,587275.2,453638.2,448326.4,715132.6,590380.4,252147.9,495696.8,564069.6,370204.1
2020/9/30,550106.4,951967.0,633144.2,706183.9,538279.1,585954.9,484011.5,459600.1,737963.7,634749.5,248227.6,502815.7,588835.8,344396.1
2020/10/31,591024.6,995740.2,649568.1,725471.6,565164.3,589255.5,481118.8,472564.8,777918.1,650338.7,248940.4,509143.6,672910.4,365120.7
2020/11/30,592578.4,1026596.7,666987.3,746045.1,533574.2,648005.5,495100.2,500185.2,787702.9,674921.6,245732.8,523381.4,625333.3,392492.8
2020/12/31,665091.5,1023008.8,671964.2,720971.1,586450.8,664508.4,499439.3,521605.2,800749.3,668925.8,274244.5,538410.2,631199.0,377242.6
2021/1/31,625209.3,995022.6,663503.5,771762.1,515426.6,685632.0,518724.0,524987.3,795856.9,681517.0,261414.2,511912.1,647492.5,389755.6
2021/2/28,656804.3,1086874.6,710286.6,843126.6,569869.2,684311.7,519688.2,543025.1,897600.0,683915.4,290282.3,551857.1,650751.2,390146.6
2021/3/31,704455.8,1120601.5,725217.4,828982.3,628344.5,702794.9,516313.4,564445.0,883104.4,698905.0,298835.8,572422.8,664437.8,406569.8
2021/4/30,671824.9,1117731.2,730194.3,798764.9,690647.5,745042.1,542829.8,577409.8,867611.8,719890.4,276739.2,566885.9,695069.6,400704.4
2021/5/31,678040.3,1146434.9,727208.2,815480.9,633721.5,734480.3,532223.2,569518.2,880658.2,710896.6,298479.4,577959.7,672258.7,399531.3
2021/6/30,696686.5,1148587.7,732682.8,827696.5,606164.2,704115.1,573685.3,579100.8,883919.8,716292.9,286361.9,566885.9,659875.6,416736.6
2021/7/31,697204.5,1160786.8,732185.1,828339.4,617590.4,717317.4,538008.7,584737.6,862719.4,726485.8,294202.6,592988.5,667696.5,419082.8
2021/8/31,655250.5,1195948.9,777475.2,839912.0,514754.5,702134.8,562114.5,606721.3,858642.4,701902.9,281372.4,615531.7,669651.7,406569.8
2021/9/30,673378.8,1142129.4,773493.7,872701.1,572557.7,751643.2,537526.5,630395.9,850488.5,777863.2,275313.7,647962.3,685945.2,430422.6
2021/10/31,699794.2,1234699.0,803852.9,897775.1,615574.0,803792.1,621414.9,615740.2,995200.0,764859.1,296697.4,662595.6,750467.6,440589.4
2021/11/30,746927.8,1292106.5,849143.0,889417.1,665311.6,824915.7,624307.6,621940.7,971167.3,782846.7,342316.1,689740.3,732218.9,431595.7
2021/12/31,761948.4,1274166.6,844166.1,918991.6,689508.3,813033.7,591523.7,642796.9,980136.6,803832.1,365838.3,679666.3,721139.3,450365.1
2022/1/31,815815.2,1203124.8,818783.7,938922.2,657918.2,789929.8,630093.0,602211.8,916800.0,783446.2,345167.3,656663.2,728308.4,432377.8
2022/2/28,781112.5,1188544.9,833216.8,965925.0,713069.5,801811.8,657091.6,603902.8,992000.0,793039.6,344810.9,717718.4,789572.1,464442.2
2022/3/31,821512.7,1198819.3,842175.3,930564.2,714388.5,797851.1,648895.6,608976.0,939200.0,785245.0,344098.1,702540.6,740691.5,446845.9
2022/4/30,748999.6,1169397.9,852129.2,895846.4,690852.6,775407.3,625754.0,581919.2,927951.2,802033.3,347662.1,683556.9,665089.5,449583.1
2022/5/31,728281.5,1111990.4,798876.0,906776.1,667328.0,742401.6,632021.5,598266.0,901858.5,776251.2,384727.2,684743.3,713970.1,449583.1
2022/6/30,709635.3,1136388.6,831226.1,894560.5,629688.7,692893.2,579470.7,579664.5,856196.3,790641.2,298479.4,685138.8,746557.2,446454.8
